imdb_id|title
tt0000001|Carmencita
tt0000002|Le clown et ses chiens
tt0000003|Pauvre Pierrot
tt0000004|Un bon bock
tt0000005|Blacksmith Scene
tt0000006|Chinese Opium Den
tt0000007|Corbett and Courtney Before the Kinetograph
tt0000008|Edison Kinetoscopic Record of a Sneeze
tt0000009|Miss Jerry
tt0000010|Employees Leaving the Lumière Factory
tt0000012|The Arrival of a Train
tt0000013|The Photographical Congress Arrives in Lyon
tt0000021|The Photographical Congress Arrives in Lyon
tt0000035|Watering the Flowers
tt0000042|Bateau-mouche sur la Seine
tt0000043|Batteuse à vapeur
tt0000093|Melbourne
tt0000100|Place de la Concorde
tt0000105|The Docks at Marseilles
tt0000111|Rip's Toast
tt0000112|Rip's Toast to Hudson
tt0000123|Conjuring
tt0000138|The Bewitched Inn
tt0000147|The Corbett-Fitzsimmons Fight
tt0000170|The Twins' Tea Party
tt0000174|Výstavní párkar a lepic plakátù
tt0000192|Ella Lola, a la Trilby
tt0000199|Glasgow Fire Engine
tt0000228|La bonne absinthe
tt0000235|Haggard's She: The Pillar of Fire
tt0000239|Danse serpentine par Mme. Bob Walter
tt0000246|A Turn of the Century Illusionist
tt0000256|Panorama from the Tower of the Brooklyn Bridge
tt0000264|Summoning the Spirits
tt0000291|Dans les coulisses
tt0000300|The Enchanted Drawing
tt0000308|The House That Jack Built
tt0000315|Le marchand de coco
tt0000340|Uncle Josh in a Spooky Hotel
tt0000359|The India Rubber Head
tt0000363|Magical Sword
tt0000365|Parada de Bombeiros
tt0000366|Uma Parada dos Alunos da Casa Pia de Lisboa
tt0000379|Visita de la escuadra inglesa a Barcelona
tt0000409|Midwife to the Upper Classes
tt0000414|Uncle Josh at the Moving Picture Show
tt0000417|A Trip to the Moon
tt0000425|Buffalo Bill's Parade
tt0000439|The Great Train Robbery
tt0000440|La guirlande merveilleuse
tt0000455|The Music Lover
tt0000480|Le coffre enchanté
tt0000498|Rescued by Rover
tt0000501|Adventures of Sherlock Holmes
tt0000542|Cerveza gratis
tt0000554|Humorous Phases of Funny Faces
tt0000555|Den hvide slavinde
