imdb_id|title
tt0039120|Americana
tt0040028|Talent Scouts
tt0040029|At Liberty Club
tt0040051|Studio One in Hollywood
tt0040053|The Ed Sullivan Show
tt0040992|Action Autographs
tt0041002|Arthur Godfrey and His Friends
tt0041068|Versatile Varieties
tt0041072|Through Wendy's Window
tt0042077|Arthur Godfrey and His Ukulele
tt0042078|The Arthur Murray Party
tt0042094|The Colgate Comedy Hour
tt0042111|The George Burns and Gracie Allen Show
tt0042114|The Honeymooners
tt0042116|The Jack Benny Program
tt0042143|Rootie Kazootie
tt0042168|What's My Line?
tt0043175|The Amos 'n Andy Show
tt0043187|Crime Syndicated
tt0043208|I Love Lucy
tt0043210|The Kate Smith Evening Hour
tt0043213|The Lilli Palmer Show
tt0043214|Love of Life
tt0043224|The Red Skelton Hour
tt0043226|The Sarah Churchill Show
tt0043234|Space Patrol
tt0044231|Adventures of Superman
tt0044259|Death Valley Days
tt0044283|My Little Margie
tt0044300|The U.S. Royal Showcase
tt0044304|The Walter Winchell Show
tt0045381|The Comeback Story
tt0045407|Life with Elizabeth
tt0045449|The United States Steel Hour
tt0046576|The Adventures of Rin Tin Tin
tt0046577|The American Week
tt0046582|The Blue Angel
tt0046587|Climax!
tt0046593|Walt Disney's Wonderful World of Color
tt0046599|Edward Arnold Theater
tt0046600|Father Knows Best
tt0046607|Honestly, Celeste!
tt0046610|It's a Great Life
tt0046612|Janet Dean, Registered Nurse
tt0046616|Justice
tt0046637|Producers' Showcase
tt0046642|Sherlock Holmes
tt0046647|Stories of the Century
tt0046658|Victory at Sea
tt0046661|What Do You Have in Common?
tt0047703|The Adventures of Champion
tt0047704|Adventures of the Falcon
tt0047705|The Adventures of Long John Silver
tt0047706|The Adventures of Robin Hood
tt0047708|Alfred Hitchcock Presents
tt0047714|The Linkletter Show
tt0047719|Casablanca
tt0047720|Cheyenne
tt0047731|Ford Star Jubilee
tt0047750|The Life and Legend of Wyatt Earp
tt0047762|The People's Choice
tt0047763|The Phil Silvers Show
tt0047767|Science Fiction Theatre
tt0047771|Sheena: Queen of the Jungle
tt0047781|Tales of the Texas Rangers
tt0047785|Wanted
tt0048838|The Adventures of Dr. Fu Manchu
tt0048845|As the World Turns
tt0048882|Lilli Palmer Theatre
tt0048894|The Price Is Right
tt0048907|To Tell the Truth
tt0048911|The Walter Winchell Show
tt0048916|Zane Grey Theater
tt0049993|New American Bandstand 1965
tt0049994|The Andy Williams and June Valli Show
tt0049995|Assignment Foreign Legion
tt0049999|Blondie
tt0050004|Club Oasis
tt0050010|Decoy
tt0050016|The Eve Arden Show
tt0050025|Have Gun - Will Travel
tt0050032|Leave It to Beaver
tt0050033|The Lucy-Desi Comedy Hour
tt0050035|M Squad
tt0050037|Maverick
tt0050051|Perry Mason
tt0050052|The Polly Bergen Show
tt0050053|The Real McCoys
tt0050055|The Restless Gun
tt0050056|Richard Diamond, Private Detective
tt0050061|The Silent Service
tt0050064|Suspicion
tt0050067|The Thin Man
tt0050068|Tic Tac Dough
tt0050074|The Walter Winchell File
tt0050079|Zorro
tt0051247|77 Sunset Strip
tt0051261|Bronco
tt0051264|The Chevy Showroom Starring Andy Williams
tt0051267|The Donna Reed Show
tt0051268|Dough Re Mi
tt0051283|The Huckleberry Hound Show
tt0051290|Lawman
tt0051292|Mackenzie's Raiders
tt0051301|Peter Gunn
tt0051305|Quatermass and the Pit
tt0051308|The Rifleman
tt0051325|Union Pacific
tt0051327|Wanted: Dead or Alive
tt0052440|Adventures in Paradise
tt0052442|One Step Beyond
tt0052444|The Andy Williams Show
tt0052447|The Bell Telephone Hour
tt0052451|Bonanza
tt0052452|Border Patrol
tt0052463|The Detectives
tt0052464|The DuPont Show with June Allyson
tt0052468|The Four Just Men
tt0052473|Hennesey
tt0052478|Johnny Ringo
tt0052481|Laramie
tt0052485|Lock Up
tt0052490|The Many Loves of Dobie Gillis
tt0052504|Rawhide
tt0052505|The Rebel
tt0052507|Rocky and His Friends
tt0052509|As Far as My Feet Will Carry Me
tt0052515|The Third Man
tt0052520|The Twilight Zone
tt0052522|The Untouchables
tt0053479|The Andy Griffith Show
tt0053480|Angel
tt0053483|The Barbara Stanwyck Show
tt0053486|Bootsie and Snudge
tt0053488|The Bugs Bunny Show
tt0053493|The Clear Horizon
tt0053494|Coronation Street
tt0053496|Danger Man
tt0053502|The Flintstones
tt0053510|Insight
tt0053512|Phillies Jackpot Bowling
tt0053514|The Kate Smith Show
tt0053525|My Three Sons
tt0053530|Peter Loves Mary
tt0053533|The Roaring 20's
tt0053534|Route 66
tt0053540|Surfside 6
tt0053543|Tales of the Vikings
tt0053546|Thriller
tt0053550|The Walter Winchell Show
tt0054134|Obras maestras del terror
tt0054510|87th Precinct
tt0054517|The Asphalt Jungle
tt0054523|Bubble Holiday
tt0054524|The Bullwinkle Show
tt0054528|Car 54, Where Are You?
tt0054529|The Cheaters
tt0054533|The Dick Van Dyke Show
tt0054538|Five Star Jubilee
tt0054544|The Hathaways
tt0054567|Supercar
tt0054572|Top Cat
tt0054574|'Way Out
tt0054575|Westinghouse Playhouse
tt0054578|Whispering Smith
tt0054580|Winning Widows
tt0055657|The Alfred Hitchcock Hour
tt0055660|The Andy Williams Show
tt0055662|The Beverly Hillbillies
tt0055665|City Beneath the Sea
tt0055666|Combat!
tt0055667|Davey and Goliath
tt0055673|Fireball XL5
tt0055680|It's a Man's World
tt0055683|The Jetsons
tt0055685|The Lloyd Bridges Show
tt0055688|The Match Game
tt0055689|McHale's Navy
tt0055692|Mr. Smith Goes to Washington
tt0055694|The Doctors and the Nurses
tt0055701|The Saint
tt0055702|Saints and Sinners
tt0055708|The Tonight Show Starring Johnny Carson
tt0055710|The Virginian
tt0056739|Astroboy
tt0056741|The Bill Dana Show
tt0056742|Bob Hope Presents the Chrysler Theatre
tt0056747|The Dakotas
tt0056748|The Danny Kaye Show
tt0056751|Doctor Who
tt0056755|The Farmer's Daughter
tt0056757|The Fugitive
tt0056758|General Hospital
tt0056766|The Jerry Lewis Show
tt0056769|The Lawbreakers
tt0056775|My Favorite Martian
tt0056777|The Outer Limits
tt0056778|The Patty Duke Show
tt0056780|Petticoat Junction
tt0056783|The Richard Boone Show
tt0056788|Temple Houston
tt0057729|The Addams Family
tt0057730|Jonny Quest
tt0057731|Another World
tt0057733|Bewitched
tt0057742|Daniel Boone
tt0057750|The Forest Rangers
tt0057751|Gilligan's Island
tt0057752|Gomer Pyle: USMC
tt0057753|The Great War
tt0057755|The Hollywood Palace
tt0057765|The Man from U.N.C.L.E.
tt0057775|National Geographic Specials
tt0057782|The Rogues
tt0057785|Steptoe and Son
tt0057790|Thunderbirds
tt0057793|12 O'Clock High
tt0057796|Vi på Saltkråkan
tt0057798|Voyage to the Bottom of the Sea
tt0057799|Wendy and Me
tt0058789|The Atom Ant Show
tt0058791|The Big Valley
tt0058792|Branded
tt0058796|Days of Our Lives
tt0058797|The Dean Martin Show
tt0058800|F Troop
tt0058805|Get Smart
tt0058808|Green Acres
tt0058812|Hogan's Heroes
tt0058815|I Dream of Jeannie
tt0058816|I Spy
tt0058819|Laredo
tt0058824|Lost in Space
tt0058833|The Nurses
tt0058853|The Wednesday Play
tt0059963|Adam Adamant Lives!
tt0059968|Batman
tt0059973|Captain Scarlet and the Mysterons
tt0059978|Dark Shadows
tt0059984|Frankenstein, Jr. and the Impossibles
tt0059986|The Great British Train Robbery
tt0059987|George and the Dragon
tt0059991|The Green Hornet
tt0059993|Hemsöborna
tt0059995|The Hollywood Squares
tt0059997|It's About Time
tt0059998|The Jean Arthur Show
tt0060004|The Magilla Gorilla Show
tt0060009|Mission: Impossible
tt0060012|The New Adventures of Superman
tt0060018|The Rat Patrol
tt0060019|The Road Runner Show
tt0060026|Space Ghost
tt0060027|The Space Kidettes
tt0060028|Star Trek
tt0060030|T.H.E. Cat
tt0060033|Tarzan
tt0060035|Till Death Us Do Part
tt0060036|The Time Tunnel
tt0061240|The Carol Burnett Show
tt0061245|The Danny Thomas Hour
tt0061248|Dragnet 1967
tt0061253|The Forsyte Saga
tt0061254|Garrison's Gorillas
tt0061258|Gumman som blev liten som en tesked
tt0061263|The High Chaparral
tt0061265|The Invaders
tt0061266|Ironside
tt0061267|The Jerry Lewis Show
tt0061279|Misleading Cases
tt0061287|The Prisoner
tt0061292|Die Schatzinsel
tt0061296|The Smothers Brothers Comedy Hour
tt0061297|Snap Judgment
tt0061300|Speed Racer
tt0062543|The Banana Splits Adventure Hour
tt0062548|Bombi Bitt och jag
tt0062551|The Champions
tt0062552|Dad's Army
tt0062558|The Doris Day Show
tt0062568|Hawaii Five-O
tt0062574|Journey to the Unknown
tt0062575|Julia
tt0062578|Land of the Giants
tt0062588|Mister Rogers' Neighborhood
tt0062591|The Name of the Game
tt0062594|Oh Brother!
tt0062595|One Life to Live
tt0062598|Pippi Longstocking
tt0062601|Rowan & Martin's Laugh-In
tt0062607|Les aventures de Tom Sawyer
tt0063866|The Andy Williams Show
tt0063868|The Barbara McNair Show
tt0063869|The Benny Hill Show
tt0063881|Catweazle
tt0063885|Complete and Utter History of Britain
tt0063889|Dastardly and Muttley in Their Flying Machines
tt0063893|Department S
tt0063894|The Dick Cavett Show
tt0063902|The Glen Campbell Goodtime Hour
tt0063907|H.R. Pufnstuf
tt0063911|Herkules Jonssons storverk
tt0063916|Jimmy Durante Presents the Lennon Sisters
tt0063919|The Johnny Cash Show
tt0063929|Monty Python's Flying Circus
tt0063936|On the Buses
tt0063939|The Pink Panther Show
tt0063948|Room 222
tt0063950|Scooby Doo, Where Are You!
tt0063951|Sesame Street
tt0063955|Then Came Bronson
tt0063962|UFO
tt0064750|Odissea
tt0065268|11 Uhr 20
tt0065272|All My Children
tt0065273|Archie's Funhouse
tt0065276|Barefoot in the Park
tt0065282|The Clangers
tt0065290|Doomwatch
tt0065296|The Goodies
tt0065298|Harlem Globe Trotters
tt0065307|Josie and the Pussycats
tt0065309|Lancelot Link: Secret Chimp
tt0065314|Mary Tyler Moore
tt0065317|McCloud
tt0065323|NFL Monday Night Football
tt0065327|Night Gallery
tt0065329|The Odd Couple
tt0065333|The Partridge Family
tt0065337|The Ray Stevens Show
tt0065355|Will the Real Jerry Lewis Please Sit Down
tt0066625|Alias Smith and Jones
tt0066626|All in the Family
tt0066635|Cade's County
tt0066648|Doctor at Large
tt0066652|Elizabeth R
tt0066656|The Funky Phantom
tt0066667|Help!... It's the Hair Bear Bunch!
tt0066668|Hem till byn
tt0066669|Here Come the Double Deckers!
tt0066677|The Last of the Baskets
tt0066683|The Man and the City
tt0066688|The New Andy Griffith Show
tt0066701|The Persuaders!
tt0066702|Persuasion
tt0066709|The Seawolf
tt0066715|Slapstick and Old Lace
tt0066721|The Two Ronnies
tt0066722|Upstairs, Downstairs
tt0068030|The Adventures of Black Beauty
tt0068034|Double Identity
tt0068040|Are You Being Served?
tt0068041|Arthur of the Britons
tt0068044|Banacek
tt0068047|Barnen i Höjden
tt0068049|The Bob Newhart Show
tt0068059|Colditz
tt0068062|Cousin Bette
tt0068067|Emergency!
tt0068068|Emma
tt0068069|Emmerdale
tt0068072|Fat Albert and the Cosby Kids
tt0068088|Josie and the Pussy Cats in Outer Space
tt0068089|The Julie Andrews Hour
tt0068090|Justice
tt0068093|Kung Fu
tt0068094|Livsens ondskab
tt0068098|M*A*S*H
tt0068102|The Marty Feldman Comedy Machine
tt0068103|Maude
tt0068108|The Moonstone
tt0068112|The New Scooby-Doo Movies
tt0068120|The Price Is Right
tt0068135|The Streets of San Francisco
tt0068138|The New Temperatures Rising Show
tt0068145|Ultraman
tt0068149|The Waltons
tt0068243|The Adventures of Pinocchio
tt0068792|Gatchaman
tt0069104|Podróz za jeden usmiech
tt0069564|Bob & Carol & Ted & Alice
tt0069574|Diana
tt0069576|Doraemon
tt0069583|Fem myror är fler än fyra elefanter
tt0069585|The Girl with Something Extra
tt0069594|Mumindalen
tt0069595|Inch High, Private Eye
tt0069602|Last of the Summer Wine
tt0069606|The Magician
tt0069608|Match Game 73
tt0069611|Moonbase 3
tt0069617|Någonstans i Sverige
tt0069620|Police Story
tt0069627|Schoolhouse Rock!
tt0069628|Semnadtsat mgnoveniy vesny
tt0069630|Shaft
tt0069634|Some Mothers Do 'Ave 'Em
tt0069637|Star Trek: The Animated Series
tt0069638|The Starlost
tt0069644|Thicker Than Water
tt0069647|The Tomorrow People
tt0069654|War & Peace
tt0069658|The Young and the Restless
tt0069684|The Age of the Medici
tt0069733|The Ascent of Man
tt0070644|Scenes from a Marriage
tt0070968|Heidi: A Girl of the Alps
tt0070970|Bagpuss
tt0070973|The Box
tt0070975|Chico and the Man
tt0070981|Derrick
tt0070991|Good Times
tt0070992|Happy Days
tt0070993|Harry O
tt0070996|Hong Kong Phooey
tt0071002|Kodiak
tt0071003|Kolchak: The Night Stalker
tt0071005|Land of the Lost
tt0071007|Little House on the Prairie
tt0071013|My Name Is Harry Worth
tt0071024|The Nine Tailors
tt0071028|Otpisani
tt0071030|Partridge Family 2200 AD
tt0071033|Planet of the Apes
tt0071034|Police Woman
tt0071036|Porridge
tt0071039|QB VII
tt0071040|Rhoda
tt0071042|The Rockford Files
tt0071043|Roobarb
tt0071054|The Six Million Dollar Man
tt0071059|The Sweeney
tt0071068|The Top Secret Life of Edgar Briggs
tt0071075|The World at War
tt0072467|Angústia para o Jantar
tt0072470|Barbary Coast
tt0072471|Baretta
tt0072472|Barney Miller
tt0072496|Ellery Queen
tt0072500|Fawlty Towers
tt0072505|The Ghost Busters
tt0072506|Good Morning America
tt0072512|Hot L Baltimore
tt0072519|The Jeffersons
tt0072520|Jennie: Lady Randolph Churchill
tt0072526|Kate McShane
tt0072535|The Lost Islands
tt0072541|Match Game PM
tt0072549|The Neighbors
tt0072554|One Day at a Time
tt0072562|Saturday Night Live
tt0072564|Space: 1999
tt0072567|Starsky and Hutch
tt0072585|When Things Were Rotten
tt0072768|Cash and Company
tt0073824|Trzecia granica
tt0073955|Alice
tt0073958|Angels
tt0073960|Arthur Hailey's the Moneychangers
tt0073961|Black Sheep Squadron
tt0073965|The Bionic Woman
tt0073971|Captains and the Kings
tt0073972|Charlie's Angels
tt0073985|Donny and Marie
tt0073987|Easy Does It... Starring Frankie Avalon
tt0073990|The Fall and Rise of Reginald Perrin
tt0073991|Family Feud
tt0073992|Family
tt0073993|The Fosters
tt0073995|George & Mildred
tt0073999|The Glittering Prizes
tt0074004|Ein Herz und eine Seele
tt0074006|I, Claudius
tt0074007|In Search of...
tt0074011|Johnny Cash and Friends
tt0074012|The Kelly Monteith Show
tt0074016|Laverne & Shirley
tt0074028|The Muppet Show
tt0074031|The New Avengers
tt0074035|The Onedin Line
tt0074037|Orde Wingate
tt0074042|Quincy M.E.
tt0074043|Raskens
tt0074047|Rich Man, Poor Man - Book II
tt0074048|Rich Man, Poor Man
tt0074050|Sandokan
tt0074053|The Scooby-Doo/Dynomutt Hour
tt0074055|Sil de strandjutter
tt0074058|The Sonny and Cher Show
tt0074074|Wonder Woman
tt0075471|ABC Weekend Specials
tt0075472|All Creatures Great and Small
tt0075475|The Andros Targets
tt0075479|Aspen
tt0075483|Big Hawaii
tt0075488|CHiPs
tt0075492|Citizen Smith
tt0075509|France/tour/detour/deux/enfants
tt0075511|Good Neighbors
tt0075512|Grange Hill
tt0075513|The Hardy Boys/Nancy Drew Mysteries
tt0075516|The House That Jack Built
tt0075520|Jesus of Nazareth
tt0075525|The Life and Times of Grizzly Adams
tt0075527|Logan's Run
tt0075529|The Love Boat
tt0075532|Lucan
tt0075537|Mind Your Language
tt0075543|The New Adventures of Batman
tt0075552|The Oregon Trail
tt0075553|The Other One
tt0075560|Poldark
tt0075572|Roots
tt0075573|Rosetti and Ryan
tt0075579|Secret Army
tt0075584|Soap
tt0075592|Tales of the Unexpected
tt0075596|Three's Company
tt0075599|Westside Medical
tt0075600|What Really Happened to the Class of '65?
tt0076974|Against the Wind
tt0076983|Battle of the Planets
tt0076984|Battlestar Galactica
tt0076985|The Bay City Rollers Show
tt0076987|Blakes 7
tt0076993|Centennial
tt0076995|City Lights
tt0077000|Dallas
tt0077003|Diff'rent Strokes
tt0077004|The Duchess of Duke Street
tt0077013|Future Boy Conan
tt0077019|Having Babies
tt0077022|Hedebyborna
tt0077025|Holocaust
tt0077027|How the West Was Won
tt0077031|The Incredible Hulk
tt0077038|King
tt0077043|Loose Change
tt0077049|Ein Mann will nach oben
tt0077051|Matador
tt0077053|Mork & Mindy
tt0077059|Pearl
tt0077062|Pinocchio
tt0077064|Prisoner
tt0077067|Rebecca
tt0077075|The Runaways
tt0077078|The Sandbaggers
tt0077082|The South Bank Show
tt0077086|Strangers
tt0077088|Tarzan and the Super 7
tt0077089|Taxi
tt0077093|Vega$
tt0077097|WKRP in Cincinnati
tt0077099|Wheels
tt0077399|The Dark Secret of Harvest Home
tt0077657|Hard Times
tt0077853|Ligabue
tt0078037|Oppenheimer
tt0078509|A Woman Called Moses
tt0078560|Anne of Green Gables
tt0078570|The Rose of Versailles
tt0078576|Blindpassasjer
tt0078579|Buck Rogers in the 25th Century
tt0078587|Comeback
tt0078590|Crime and Punishment
tt0078600|Dick Turpin
tt0078603|Doctors and Nurses
tt0078605|Dorothy
tt0078607|The Dukes of Hazzard
tt0078627|Huckleberry Finn and His Friends
tt0078635|Mrs. Columbo
tt0078636|Katitzi
tt0078638|Knots Landing
tt0078643|Little Women
tt0078644|The Littlest Hobo
tt0078654|Matt and Jenny
tt0078657|Minder
tt0078659|Monkey
tt0078662|Flash Gordon
tt0078669|The Flintstone Comedy Show
tt0078672|Pride and Prejudice
tt0078678|Roots: The Next Generations
tt0078682|Sapphire & Steel
tt0078692|Star Blazers
tt0078703|To the Manor Born
tt0078705|Trolltider
tt0078713|Worzel Gummidge
tt0078714|You Can't Do That on Television
tt0079840|The Sacketts
tt0080194|Barbara Mandrell and the Mandrell Sisters
tt0080196|Berlin Alexanderplatz
tt0080200|Bizarre
tt0080212|Edward & Mrs. Simpson
tt0080215|The Flame Trees of Thika
tt0080218|Freebie and the Bean
tt0080221|Galactica 1980
tt0080230|Hollywood
tt0080231|Hammer House of Horror
tt0080236|Keep It in the Family
tt0080240|Magnum, P.I.
tt0080242|The Martian Chronicles
tt0080253|Not the Nine O'Clock News
tt0080266|The Ri¢hie Ri¢h/Scooby-Doo Show
tt0080268|Sale of the Century
tt0080270|Scruples
tt0080274|Shogun
tt0080275|Sinkadus
tt0080286|The Tarzan/Lone Ranger/Zorro Adventure Hour
tt0080306|Yes Minister
tt0080878|The History of Mr. Polly
tt0080986|Kariera Nikodema Dyzmy
tt0081033|The Last Outlaw
tt0081134|Martin Eden
tt0081443|A Rumor of War
tt0081829|Babels hus
tt0081834|Das Boot
tt0081842|Uma Cidade Como a Nossa
tt0081846|Cosmos
tt0081848|Danger Mouse
tt0081850|The Day of the Triffids
tt0081854|Doctor Snuggles
tt0081855|Dubbelsvindlarna
tt0081856|Dynasty
tt0081857|Entertainment Tonight
tt0081858|Falcon Crest
tt0081859|The Fall Guy
tt0081862|Fitz and Bones
tt0081869|Gimme a Break!
tt0081871|The Greatest American Hero
tt0081873|Hill Street Blues
tt0081874|The Hitch Hikers Guide to the Galaxy
tt0081878|It Ain't Half Hot Mum
tt0081883|The Kenny Everett Television Show
tt0081885|Kessler
tt0081894|Lewis & Clark
tt0081900|Masada
tt0081909|Nurse
tt0081912|Only Fools and Horses....
tt0081933|The Smurfs
tt0081937|Sorry!
tt0081938|Spider-Man
tt0081941|SuperBook
tt0081945|That's My Boy
tt0081951|Triangle
tt0081956|Den vita stenen
tt0081963|Winston Churchill: The Wilderness Years
tt0083377|Nine to Five
tt0083379|Albert & Herberts julkalender
tt0083386|The Billy Crystal Comedy Hour
tt0083387|The Blue and the Gray
tt0083390|Brideshead Revisited
tt0083395|Cagney & Lacey
tt0083399|Cheers
tt0083402|The Comic Strip Presents...
tt0083407|The Devlin Connection
tt0083409|East of Eden
tt0083410|The Edison Twins
tt0083412|Fame
tt0083413|Family Ties
tt0083432|Jane
tt0083435|The Kids of Degrassi Street
tt0083437|Knight Rider
tt0083441|Late Night with David Letterman
tt0083446|Marco Polo
tt0083447|Matt Houston
tt0083452|Nature
tt0083455|Newhart
tt0083466|Police Squad!
tt0083470|Remington Steele
tt0083474|The Scooby and Scrappy-Doo Puppy Hour
tt0083480|Smiley's People
tt0083481|Spider-Man and His Amazing Friends
tt0083483|St. Elsewhere
tt0083500|Voyagers!
tt0083505|The Young Ones
tt0083679|Born to the Wind
tt0083689|Boys from the Blackstuff
tt0083957|For the Term of His Natural Life
tt0084053|Harry's Game
tt0084967|The A-Team
tt0084969|After MASH
tt0084971|Alternatywy 4
tt0084972|Alvin & the Chipmunks
tt0084978|Automan
tt0084980|Bananaman
tt0084988|The Black Adder
tt0084994|Casablanca
tt0084996|The Charlie Brown and Snoopy Show
tt0084997|Chiefs
tt0085002|Cutter to Houston
tt0085010|The Dukes
tt0085011|Dungeons & Dragons
tt0085017|Fraggle Rock
tt0085031|The Hitchhiker
tt0085032|Hotel
tt0085037|Jane Eyre
tt0085039|Jonssons onsdag
tt0085040|Just Good Friends
tt0085044|Kennedy
tt0085058|Monaco Franze - Der ewige Stenz
tt0085077|Reilly: Ace of Spies
tt0085078|The Renegades
tt0085079|Return to Eden
tt0085082|Rubik, the Amazing Cube
tt0085088|Scarecrow and Mrs. King
tt0085094|The Steam Video Company
tt0085095|Struggle
tt0085096|SuperTed
tt0085101|The Thorn Birds
tt0085102|Trauma Center
tt0085106|V
tt0085111|Widows
tt0085112|The Winds of War
tt0085118|Zorro and Son
tt0085683|Home
tt0086298|Shang Hai tan
tt0086333|The Adventures of Sherlock Holmes and Dr. Watson: The Treasures of Agra
tt0086570|Waterfront
tt0086659|'Allo 'Allo!
tt0086661|The Adventures of Sherlock Holmes
tt0086662|Airwolf
tt0086663|All the Rivers Run
tt0086665|Auf Wiedersehen, Pet
tt0086681|Charles in Charge
tt0086687|The Cosby Show
tt0086699|Dramarama
tt0086701|Dreams
tt0086711|The Far Pavilions
tt0086713|The First Olympics: Athens 1896
tt0086714|Five Mile Creek
tt0086719|G.I. Joe
tt0086722|Glitter
tt0086739|The Jewel in the Crown
tt0086740|Julstrul med Staffan & Bengt
tt0086742|Kate & Allie
tt0086746|The Last Days of Pompeii
tt0086755|Master of the Game
tt0086756|The Master
tt0086759|Miami Vice
tt0086764|Muppet Babies
tt0086765|Murder, She Wrote
tt0086776|Partners in Crime
tt0086779|The Octopus
tt0086782|Polisen som vägrade ge upp
tt0086787|Punky Brewster
tt0086793|Santa Barbara
tt0086798|Shaka Zulu
tt0086801|Sharon and Elsie
tt0086807|Spitting Image
tt0086811|Super Password
tt0086814|Tales from the Darkside
tt0086815|Thomas & Friends
tt0086817|The Transformers
tt0086818|The Tripods
tt0086823|V: The Final Battle
tt0086824|Voltron: Defender of the Universe
tt0086829|The Wind in the Willows
tt0086831|Yes, Prime Minister
tt0087244|Fatal Vision
tt0087590|The Last Bastion
tt0087756|Miss Marple: A Murder Is Announced
tt0088109|Sherlock Hound
tt0088471|A.D.
tt0088478|Amazing Stories
tt0088479|Anzacs
tt0088484|Black-Adder II
tt0088491|The Bugs Bunny/Looney Tunes Comedy Hour
tt0088500|Count Duckula
tt0088503|Dempsey and Makepeace
tt0088509|Dragon Ball
tt0088510|Droids
tt0088512|EastEnders
tt0088513|The Equalizer
tt0088526|The Golden Girls
tt0088527|Growing Pains
tt0088528|Adventures of the Gummi Bears
tt0088530|Half Nelson
tt0088551|The Last Place on Earth
tt0088559|MacGyver
tt0088563|MASK
tt0088571|Moonlighting
tt0088579|Mussolini: The Untold Story
tt0088580|Neighbours
tt0088583|North and South
tt0088587|Otherworld
tt0088590|Patrik Pacard
tt0088595|Robotech
tt0088597|Röd snö
tt0088604|The Secret Diary of Adrian Mole Aged 13 3/4
tt0088607|Sketch-up
tt0088608|Sagan om Skrotnisse och hans vänner
tt0088609|Slinger's Day
tt0088610|Small Wonder
tt0088612|Spenser: For Hire
tt0088613|Star Cops
tt0088618|Street Hawk
tt0088619|The Super Powers Team: Galactic Guardians
tt0088620|SuperFriends: The Legendary Super Powers Show
tt0088621|Taggart
tt0088628|The 13 Ghosts of Scooby-Doo
tt0088631|Thundercats
tt0088634|The Twilight Zone
tt0088636|Varuhuset
tt0088637|Via Mala
tt0088641|Widows 2
tt0088727|Anne of Green Gables
tt0088750|The Atlanta Child Murders
tt0088833|Miss Marple: The Body in the Library
tt0088863|Bubblegum Crisis
tt0088975|Heart
tt0089018|Manuel on the Island of Wonders
tt0089787|Los pazos de Ulloa
tt0089870|Quo Vadis?
tt0089991|Sense and Sensibility
tt0090390|ALF
tt0090399|Bolji zivot
tt0090407|Supernova Flashman
tt0090410|Crime Story
tt0090414|Dads
tt0090417|Degrassi High
tt0090424|Edge of Darkness
tt0090435|Fresno
tt0090436|The Adventures of the Galaxy Rangers
tt0090444|Head of the Class
tt0090449|Help!
tt0090455|If Tomorrow Comes
tt0090459|It's Garry Shandling's Show.
tt0090461|Jem
tt0090466|L.A. Law
tt0090478|Macken
tt0090479|Maison Ikkoku
tt0090480|A Mala de Cartão
tt0090481|Matlock
tt0090490|North and South, Book II
tt0090491|On Wings of Eagles
tt0090493|The Oprah Winfrey Show
tt0090506|The Real Ghostbusters
